author,date,post
cwswim03,"Aug 31 2022, ","
					,
,
,Basically to recap what you did, you nerfed coda, you nerf OGH, you nerfed legend of the hammerhand, you nerfed the anthems, you nerfed inductions, you nerfed PIERCING CRY (!!!!!), and you gave mini CTG, which is essentially only useful for Hunters, blue LMS, and cpts.,
,
So your stated goal of having some class diversity in raids actually just got worse because you just added ANOTHER buff for only hunters.
				"
Eloriena,"Aug 31 2022, ","
					Playing an Anthem every 20 Seconds or so to keep tiering up the Tales Buff and keeping up a rotation to be able to play them on CD feels a little bit like yellow LM where you are keeping up your Debuffs and Pet Rotation in similar just a little bit more hectic timeframe, and I enjoy yMinstrel, because you have more opportunities to react to situations and have time between your Buffs(Anthems) to do something else and be more than a Buff machine. I love my yLM, but I don't want to play two classes that are too similar. The long durations of Anthems gives us opportunities.
				"
DoRonRon,"Aug 31 2022, ","
					,
,
,Haven't raided in years, but then haven't stood still in combat even longer so a strike is a third corruption removal skill at best with the prime one reset with critting ballads. Coda use buffs trumped by always active Anthems, until this decimation.
				"
Ohri72,"Aug 31 2022, ","
					Okay so here's my experience with the changes. Will be focusing on only the changes that affect blue minstrel.,
,
About me: I'm a minstrel main and have done the highest tier raids for the past couple years and have been among the first groups on my server to complete them. All that is to say I have a lot of experience on the class and know how to play it.,
,
I went back to Lotro and hit the training dummy for a few minutes to get an average parse. Using Anvil set, 3 yellow raid set, induction cloak, 2 new crafted induction crafted traceries and ranged heal extension (replaced with inductions on beta to give it a fighting chance). I averaged 170-180k on myself. Here's the skill breakdown of one of them:,
,
,
,
Note that Bolster is the most used heal and the fast inductions allow me to use more perfect endings, so it's higher in the list. There's also not a single , being used (a lot of people seem to ignore that its a bad skill but it is),
,
Now compare this to what I got in a few minutes on bullroarer (it's not perfect, but I don't have hours of time to perfect this super slow rotation). Results on a dummy are 125-135k. That is , up and I swapped my ranged extension tracery to skill inductions and anthem of war for cry of the chorus tracery.,
,
,
,
,
This is a difference of around 50k hps for 3 minutes, which will probably get bigger if you use all anthems. It's roughly a ,
It feels extremely slow even when using every induction bonus possible. It’s also a huge nerf because you don't get as many Perfect Endings off, which is one of the best single target heals, because the building of Snowball is slower. ,
,
,
,
I struggle at understanding why you got rid of the Cry of the Chorus reset for blue line only. With a cooldown of 57s (with tracery) you can’t even keep up the +3% incoming healing buff from Coda of Resonance (on live its 5%, I wonder why you nerfed it) for the fellowship unless you use ballads.. It feels like you try to force minis to use ballads, but Ballads are just bad. 8m range, relatively long animation, the heal is far from strong and you might as well use a Soliloquy instead. If you want us to use Ballads, then make them worth using. Also the incoming damage on Coda of Resonance was nerfed from 10% to 5% and no longer stacks. This makes Ballad/Coda spamming worse as well.,
,
,
,
Its extremely frustrating to have to take the time to use these Anthems every 20s, especially if you are in a raid and someone needs focus heals, but you have to hit an anthem instead in order to keep all of them up cleanly. You say it gives flexibility, I don't see that. Being forced to rotate anthems every 25s is not fun game design.,
,
,
,
, ,
Minis healing on live is in a good spot, it’s arguably the best 6 man healer. It's better than rk healers in many ways, but not overpowered. So I don't understand why these changes are affecting blue mini. Slowing down inductions is fine, although I don't personally like it. If you want to go that route, heals must be compensated elsewhere and I am not seeing that. Also being forced to rotate anthems every 25s is not fun game design.,
,
The proposed mini changes right now are horrid. You are making blue mini no longer fun to play and nerfing its healing capability. Please keep it fun to play and don’t turn blue mini into a support healer taken only for its buff. Mini has always been a strong pure healer with good buffs. I see blue mini easily being replaced in raids, because red mini can do the buffs and you can just bring a better healer like rk or bear. But red mini dps is also bad, but that’s for another day ,
				"
cwswim03,"Aug 31 2022, ","
					,
,
,This is correct. The changes are bad. Don't let these go live. ,
,
A fix: Make anthems combat only and keep yellow line. Update CTG.
				"
gladenn,"Aug 31 2022, ","
					Hey hey! ,
,
I am super excited and glad to be seeing new changes, and new things being added to one of my favorite games and one of my favorite classes.  I think first and foremost it is important to accept that change is necessary for growth in a game, and in ones character development. I believe we would all be silly to think the classes are staying the same forever... however lets talk about these changes and the issues they bring. I hope you can listen and read each and every one of these concerns because trust us, some of us have truly put in the time playing and testing and however good it may sound on paper, playing them in the game.... it doesn't work. ,
,
,
,
,
Bugs/Tool-Tip Issues/etc:,
,
1. The tooltip for Raise the Spirit still is reading a heal over time, however it is acting like mentioned in the patch notes, a ""small AOE heal after a brief delay"". This is still confusing especially when referring to traceries that have to do with AOE heal vs HOT crit etc. Please correct this!,
2. Raise the Spirit AOE heal also doesn't have a value on it just shows a cooldown before expiring.,
3. Anthem of Prowess has a global CD of 15s where the others have a global CD of 20s (with traits + traceries). If you use prowess before the others it actually is lowering the global cooldown for the rest of the anthems as well. This doesn't seem to be correct.,
,
,
,
Main Issues/Concerns:,
,
1. As a few others have mentioned I am pretty confused by the anthem of prowess giving agility seems to be quite a waste of a stat.,
,
2. Referring to prowess, I am quite confused why melee bonus is now split from Anthem of War. If you're trying to balance more and make it more streamline why now break it apart and make it more difficult and more steps? Further more on this note, given this update, people are taking more hunters over champs anyway, so are you just wanting us to not play with Anthem of War? If anyone who has even logged in to play and test would now know you pretty much have to go fully into red to even be able to touch Anthem of War, leaving out the most important stuff from the Protector of the Song traits (CTG, SOA, etc etc.) Your words, ""Our goal is not to remove yellow line or yellow line’s identity, but to fold yellow line back into being a core part of the minstrel, accessible regardless of whether you’re in red line doing landscape quests, blue line main-healing a raid"" hold actually the exact opposite value after testing because we are now left with choosing do we: ,
,
a. heal with very little anthem use ,
b. red dps only ,
c. red all anthems ,
d. blue most anthem and throw points wherever. ,
,
3. Piercing Cry stun? Lets all agree change that back and everything will be fine. Seriously.. please just revert it. It doesn't make sense. Referring back to what was previously said. Instead of ""folding yellow in"" you are now forcing us to stay melody to use certain skills? Again.. please change this back for all the healing minis out there. <3,
,
4. Lets talk useless traits // the way the trait obtaining process works. If you want us to stay Resonance and Watcher and Heal, how can we heal and get CTG/Tale/SOA/Anthem duration etc when its all at the bottom filtered in with useless stuff like the breakout/the coda etc etc. Seems like since everything has been merged to be used in Melody stance having some of the stuff that we could actually benefit be near the top rather than the bottom. Breakdown of what I mean below. ,
,
- Echoes of Battle would be cool to see it effecting something in Resonance, not just the other stances. Or wait... do you want us to just play Melody?,
- The third row on Protector of Song seems to be a massive point waster where one has to decide how to get to the bottom. ,
,
a. Tactical Mastery is either take all or take none because the only useful bonus is the tact mit. ,
b. Prowess.. I guess we take it ,
c. Song of Restoration, pretty useless,
d. Word Spreads again useless unless you take all the way, and we don't have the points for that. ,
,
5. Induction speeds have now been nerfed? Why was this change implemented? Still would love to find out taking the flat ""induction speeds"" to now ""healing induction speeds"" really has slowed the class way down. Slowing the heals on top of the anthems (see next note) really has made the class feel SUPER sticky, and slow to play. ,
,
6. Lets talk anthems. Since we can't even try to get anthem of war without literally losing every thing in Protec of Song, we now have 5. I am actually not mad at their being more, that doesn't bother me one bit. I am okay with adapting to learn to rotate them, etc etc. Here is where the main issue comes into play. ,
,
A. Cooldowns of the ANTHEMS. Why are they shared? This literally makes no sense to any of us. I understand one could argue that you don't want us to pop them all stand and heal and seem to be doing nothing, however now have to rotate them and not provide as much heals seem to be going against what you were trying to accomplish.,
,
I believe one solution to this method would be to implement a new trait in place of Invigorating Anthems. Lower the anthem cooldowns back to what they were, and maybe changing Invigorating to allow each tier to unlock an additional anthem. Again this would be a rather new change compared to what you guys have, however that still limits how many you can throw at once if you don't have all the traits into it etc.,
,
New Invigorating Anthems,
Allows the use of multiple active anthems for the entire raid,
Rank 1: 1 Active anthem,
Rank 2: +1 Active anthem,
Rank 3: +2 Active anthem ,
Rank 4: +3 Active anthem,
,
This would allow your guys new idea to be more represented. We as minstrels would have to adapt based on the fight and decide which 4 of the 6 anthems we would want to use. Where as now we are trying to keep them up in order every 20s doing very minimal healing.,
,
7. CTG cooldown 7 minutes? It seems to be a little long? Maybe include something like Hunter Rain of Arrows cooldown where critical heals or something reduces the cooldown slightly? ,
,
8. Cry of the Chorus Reset. Again, another crucial piece to minis that seem to us as a very odd choice to remove. It seems as if you want us to spam ballads/Coda however you guys also nerfed that (incoming damage) from 10%-5% creating all the more reason to not do that. ,
,
,
,
Closing Remarks:,
,
As a mini main, and high end raider who has done pretty much all content from 100+ I really want to like these changes. I want to support them, and truly figure out how to work around them. However the more time spent on BR (trust me we've spent too much already) we keep finding the same issue. Or better yet we have the same question.,
,
Do you want us to heal, or support?,
,
With these new changes if they make it to live, minis will no longer to successfully heal and provide a streamline system when it comes to buffing their fellowship or raid. We will now have to decide not only what anthems we want for our group and try to keep them up, but we will now have to decide what exactly to do. Do say screw anthems, trait blue and stay in Resonance and try to heal? Or do trait blue, stay in Melody and support? Or lastly do you want us to just go Red now, with every anthem and be a full support? ,
,
Our main concern and question would be if you want us to still be viable to the healing realm in the same degree we are now, without it being slow, clonky, and down right not enjoyable, changes have to be made to what we just tested. ,
,
Thanks for reading <3
				"
infinitewhimsy,"Aug 31 2022, ","
					,
,
,You can't use anthems out of combat anymore so there is no such thing now. It takes about 2 minutes to get all of your Anthems up now, same thing with maxed Tale of Tales. All of these things you effectively had instantly before. ,
,
In many ways both Tale of Tales and the Anthems are worse now too. You lost -5% attack duration on Prowess for example. It's been moved to Third Age Resonance instead, which means you don't get it at all if you want to be DPS and buff. Third Age Resonance itself also lost 5% Induction reduction. Of course if you were strictly blue line as a Minstrel you get a fair amount of new buffs, but they definitely come with a heavy price. The loss of CotC CD and Inspiring Cries & Calls for example.,
,
,
,
,This is an underappreciated angle I think. On live I use Coda a lot more when healing because I can immediately get back into 3 Ballads with CotC and it gives the tank 10% damage reduction through Improved Coda of Resonance on top of the 5% Incoming Healing buff to the group, which you can maintain permanently without using a single ballad. ,
,
I'm not going to do this after the changes, because not only does CotC have a much longer CD now, you can no longer reset that cd with Inspiring Cries & Calls which has been removed. This means Improved Coda of Resonance is worse now too, I probably won't be traiting it anymore because you don't want to Coda while healing now unless CotC is up since it means a large loss of time/healing having to spam Major Ballad (which sucks), so at most you do it once a minute. Which of course also means losing the 5% Incoming Healing buff from the Coda at least half of the time.,
,
The buffs from Thunderous Codas are kind of amusing because of this, having to trait for a worse version of what you once had by default (seems to be the major theme of these changes) and the HoT added to your Coda is totally negligible. This trait is only good in Redline because you want to regularly use Minor Ballad in red, you do NOT want to use Major Ballad while blue, and of course Red line still has its CotC reset via Improved Coda of Fury.,
,
,
We got the trait Inspiring Finish instead in Blue...I don't foresee anyone using it. Not least of all because we likely don't have the points for it, and because it's pretty bad. The duration is short, the effect is small, and the time investment and opportunity cost are massive.  I don't even think the average Minstrel will have trait points for Anthem of War anymore in blue, which definitely makes the new yellow tree less appealing. You're losing plenty to get this new stuff, which requires a lot more time to setup and maintain - - time spent not healing and thus falling behind on healing. I didn't really think about point allocation before because the yellow traits seemed so cheap but I was definitely wrong before when I said at least the blue minstrels will be happy with the changes. ,
,
Eyeballing it and predicting how I'll trait on BR...you're losing all of the following in Blue:,
- 70k morale from Enduring Morale,
- Anthem of War (simply not enough points),
- CotC reset via Inspiring Cries & Calls,
- 30s CD on CotC,
- 100% uptime on Coda Resonance Fellow buff  (5% incoming healing),
- 10% incoming damage reduction through Improved Coda of Resonance (which you won't use anymore),
- 10% induction reduction from Anthem of the Third Age Resonance,
- Call to Earendil debuff is now 1/3rd of what it used to be,
- Legend of Helm Hammerhand is now significantly weaker,
- Anthem of Composure is now significantly weaker (Resistance Rating is like 1/3rd of what it was, tact mit loss is compensated for if you also do Anthem of Compassion to cover all tactical types...so more trait points and GCDs for less),
,
And all of this is in exchange for,
-  the new Song of Aid,
- Anthem of the Third Age Resonance now gives your group a minor buff,
- Anthem of Prowess (with halved attack duration, the important part),
- Anthem of the Free Peoples,
- Call to Greatness (which is still useless for half of its effects),
,
And all of this is assuming we don't also stay in Resonance, which most will, which means losing the stun and corruption removal in PC too. Remember, they didn't JUST remove it from DPS builds, you will no longer have it while healing unless you switch into Melody which...why the hell would you? For the lower heal numbers? For the paltry Finesse bonus on the Anthem? To fish for Anthem resets with RNG procs that cost huge amounts of resources even though you can maintain 5 Anthems without it? So you are forced to use another 2 seconds reapplying Melody of Battle? So you can then have the pleasure of then switching OUT of Melody? Yay for for time wasting ridiculous inductions you're forced to juggle back and forth to retain your past functionality, lol. ,
,
I don't think I'd make that trade given the choice. The more I look at the changes the more I am convinced they are bad for every Minstrel playstyle, that's pretty impressive in itself.,
,
Suggestion: You should remove Melody as a stance and instead make it a decaying buff that changes the effects of skills imo, but also change those effects because currently they are aggravating, it's just giving us back some of what you took away. The effects should be damn more substantial too, if you keep it as modifier for the Orome debuff duration it should be much more than 10s, just increase the CD of Melody to compensate. Quit being such Indian givers, SSG.
				"
Saephellar,"Aug 31 2022, ","
					Whoa.. I never thought about this! You're onto something I remembering doing the Anthem of Composure deed it was torturous.. and that was with the 5s cooldown imagine now. They will have to definitely reduce the amount of times its needed for the deed.
				"
Saephellar,"Aug 31 2022, ","
					so Anthem of the Third Age Resonance was nerfed too? The induction buff and healing buff from it are lower? If this is the case it's going to be harder for healers to be more effective at healing which is defintely not good at all! Also i feel like only those near end game will have enough points to benefit from the yellow line trait points now since you cant specialize it from the beginning. That's a bummer :/
				"
Bio-Flame,"Aug 31 2022, ","
					Playing since launch, haven't logged in the forums for years and years now, but I needed to for this one.,
I am an experienced mini, did almost all raids in T2-T3. Meaning: I know a few stuff about minis.,
,
,
,
Blue and Yellow minis were in a good shape. Some tweaks needed here and there, especially on Yellow but all in all, in a good spot.,
,
Nobody asked for a major overhaul to Mini.,
Why are you changing a core class, with unneeded, unwanted changes?,
Why the overhaul? ,
Nobody asked for this overhaul. Why would you waste time with this?,
,
,
,
And why a change for the worse? ,
Anthems now are a boring spam fest. At least pre-whatever-this-travesty-is, we could fire Anthems and forget about them. With these changes, it's a spam fest.,
If you want to change Yellow, change and improve Yellow.  Keep yellow as it is in Live, but improve it. Tweak it. ,
Don't remove yellow.,
And definately don't destroy Blue and Red to make Yellow work.,
,
,
,
I take it you don't like how minis play but most mini players were happy with the playstyle. Content.,
If you don't like how minis play, don't play them.,
,
What is this need to remove what players enjoy, so late in the game's life cycle? Why remove options for players to play with (two trait lines instead of 3) ?,
You're just alienating paying customers for no good reason, and with changes for the worse, not for the better.,
,
,
I apologize if I seem harsh but seriously, we like minis as it is. ,
It's not too late to turn back. Don't go ahead with this pointless change for the worse.,
Seriously, if I were your boss, I'd would applaud the effort but I would veto it.,
,
,
,
,
PS - I know this is worthless because SSG never changes anything substancial due to feedback, unfortunately.
				"
J-Moneyforever,"Aug 31 2022, ","
					Feels like a lot of these responses are knee jerk reactions without spending time on bullroarer. I think this is a really positive change. Yellow wasn't a particularly fun spec to play imo and this allows minstrels a lot more freedom in fulfilling their role while being able to take more stuff in yellow due to the changes in point costs. I like the idea of yellow as a utility tree to assist and customize the way you play red or blue.,
My main feedback would be that it honestly feels bad not being able to put up at least one anthem before a fight starts. I get the need for ""ramp up time"" but idk. It is frustrating to be several seconds into a fight before you even consider a 2nd anthem. ,
The removal of the PC stun in red war speech is tough. It's been an iconic part of red mini for a long time. Not sure I'm a fan of losing it.,
Finally small thing to ask but I was very excited to see anthem of the free peoples return. But was disappointed when i found out it no longer grants the HoT that it used to grant when you used Coda with the anthem active.
				"
infinitewhimsy,"Aug 31 2022, ","
					,
,
,Former Coda cash out effects are applied automatically now upon using an Anthem if you trait Invigorating Anthems, you get a HoT from Anthem of the Free Peoples, it's about 30-40k personal heal over 10s (ie, negligible, like all of the other effects from the trait except for Third Age).
				"
J-Moneyforever,"Aug 31 2022, ","
					,
,
,Oof I must not have tested that trait. That's a shame. The old hot wasn't crazy but it definitely felt noticeable at 75/85
				"
Bio-Flame,"Aug 31 2022, ","
					,
,
,
Or maybe we did and we still dislike them?,
,
Unneeded, unwanted changes.,
What for?
				"
J-Moneyforever,"Aug 31 2022, ","
					,
,
,I'm sure that's true of some. But also true that a lot of people didn't I think. And saying unneeded and unwanted is perspective. Like I said I personally think they are positive changes and look forward to them. I spoke to others who feel the same. There's fair perspectives on both sides of this.
				"
Bio-Flame,"Aug 31 2022, ","
					,
,
,Then you never really enjoyed playing mini, you enjoyed some other class.,
This isn't mini. This is playing LM, spaming Anthems.,
,
,
,
Why? Nobody asked for this change.,
Tweak Yellow, improve yellow, sure.,
,
But destroying the feel of the class, to become an Anthem spam fest? ,
How's that for the better...?
				"
infinitewhimsy,"Aug 31 2022, ","
					,
,
,Yeah it's a real shame all but 1 of the Anthem effects are totally worthless.,
5% Threat Reduction via Compassion,
3 Herald Strikes with no CD via Prowess,
Tiny self HoT via Free Peoples,
Power Restore via Compassion,
Coda Crit Chance via War (seems to be bugged since there's no buff, but would be lackluster even if it worked),
,
The effects are anything but noticeable, they all effectively affect nothing. ,
,
Power and Threat are no longer considerations at end game (like, at all), Herald's Strike is a worthless skill most of the time (the HH 4 set changes that, but the buff doesn't stack so why do you need to apply it 3 times in a row? lol), you don't want to Coda at all in Blue now and the heal it gives isn't even good so a marginally higher crit chance isn't exactly exciting.,
,
My suggestion:,
Change the effects to something like...,
,
Anthem of War - Next Coda is now guaranteed to Crit.,
Prowess - Your next Piercing Cry is now AoE (I would be willing to swap into Melody for this kind of moment, this would feel impactful to AoE stun/corruption removal from ranged),
Compassion - Resets the cooldown on Chord of Salvation ,
Composure -  Your next Ballad is twice as effective,
,
And while you're at it change it so incrementing or refreshing Tale of Tales (that is, casting an Anthem) reduces the cooldown slightly on Song of Aid. These kinds of changes would make Minstrel feel more dynamic and interesting.,
,
,
,
,Even if I don't like the current changes I think it's obvious Yellow line had problems. The old playstyle of just using your Anthems every 3 minutes wasn't exactly fun either you know? It was convenient though.
				"
WeirdJedi,"Aug 31 2022, ","
					,
,
,I will admit that I'm not on Bullroarer to get a feel for the changes, but I think a lot of these changes are good. I really didn't like the idea of prepping anthems before battle and disliked the expectation of minstrels temporarily switching to the yellow trait line to cast buffs before the raid advances. Any one of the changes - especially making it so you have to cast anthems during a fight - would have solved that problem. But I see why people are upset about it because my captain's Oath-keepers was changed awhile back so , could only be cast in-combat. This prevented me from spending that extra second casting it beforehand. In the end, I realized that it wasn't , big of a deal. However, I don't like how Call of Greatness refreshes the ability without the 3-minute debuff also clearing away on the enemy. ,
,
I also really like the idea of blurring the lines. Healing was very pitiful in red and there was very little you could do for damage in blue (even when switching stances). From the looks of it, they are also trying to make anthems flexible so you can coordinate multiple minstrels in a raid. Then again, there are so many different opinions on the matter that it is hard to tell from a glance.
				"
cwswim03,"Aug 31 2022, ","
					,
,
,Actually people have spent a lot of time on bullroarer testing it and the changes are garbage. Losing 25% ogh, inductions, coda -damage reduction, piercing cry stun/CR removal, legend of the hammerhand nerf, all to gain CTG reset for 3 skills (on two classes) is ####. They are turning a main healer into a support class and people ####ing hate it.
				"
Faudyen,"Aug 31 2022, ","
					Was able to hop on Bullroar for a bit today.,
My first concern is that for the landscape solo red mini there is no reason to spec into or use any anthem.  The fights are over before you can build up to use them.,
This would register to  me the same if I was leveling up.  My concern here is that when a mini reaches end game they all of a sudden have to learn a new way to play.,
As a solo red mini I had a lot of points that I was putting anywhere because they didn't matter.   ,
Song of aid cooldown is far too long.  Song of aid is way at the bottom of a tree, costing a lot of points.  The heal is about the same as inspire fellows.  The hot on song of aid is a joke, yet is has a 3 1/2 minute cooldown.  I'm not a raid healer, granted, but as someone that has no problem going blue for friends to knock out a couple of instances I would not put any points into this.,
Induction time on bolster courage should be reduced.  ,
The CotC nerf to blue line is unnecessary.,
With all of changes you have made I'm bit surprised that there is still an induction between stances.  This should be removed.,
The removal of stun on piercing cry was a bad choice.  Minis have never been an amazing dps class and this ability has kept many a mini alive over the years.  It should be returned.,
My feeling on melody stance is the same as before I played the beta.  In my opinion, go to dissonance and  resonance stance.  Keep the coda in dissonance the damage it is now but add the aoe and heal from melody and get rid of melody.  In my opinion when you are in a 3 man or 6 man you are either dps or you are healing, how often are people trying to do half of both?  Our with your friends?  Same thing, you are one or the other.  Most classes (sorry red brawler) can heal themselves redline.  You want to switch to blue stances after a fight, toss a couple of heals and move back, cool.  I just don't see a point of yellow stance anymore.  ,
Thanks
				"
infinitewhimsy,"Aug 31 2022, ","
					I just realized the group effect from Anthem of the Third Age Resonance isn't applied to the Minstrel. So you're actually losing 10% Induction Reduction with the changes to the Anthem....wow, I'm speechless. That is so much worse than I thought, and I thought it was bad before. ,
,
,
,
,Where are you getting 25% OGH loss from?
				"
DoRonRon,"Aug 31 2022, ","
					I guess a Monster player is going to love the changes.,
,
Nothing on landscape survives my red mini long enough for him to cast an anthem. I had to fear mobs to delay their deaths just to add an anthem. Should I ask for it's CD to be lowered to 20 seconds to enable anthem use?,
,
The more damage I do the more time I have to twiddle my thumbs waiting. If I want to attempt to buff with anthems any more that is. Bye-bye Warspeach, hello anthems I can't use except in a metronomic 20 second cycle of pulls across the map or mission. Kill me now!,
,
The movie Hudson Hawk had Bruce Willis and Danny Aiello have a blast carrying out robberies while singing show tunes chosen to set their cadence and timing for each heist. This is like forcing them into one boring song to fit all jobs.
				"
cwswim03,"Aug 31 2022, ","
					,
,
,Try your heals on live vs your heals on bullroarer and see the difference you get while using the exact same skill rotation. It's a 25% loss (as demonstrated by other parsers in the thread)
				"
Elaelin,"Aug 31 2022, ","
					It would be nice to know why these changes/nerfs to the mini are needed.  If the true intent is to introduce yellow line to those that only play blue and red line it falls short of the goal as the new (not really improved) buffs will be a choice under the new system.  Yes, we will be able to put points into those yellow line skills but no, we won't have the time to use these new skills in blue or red line on a consistent basis.  Add to that longer inductions, reduced heals and the mini will have fewer opportunities for group content and solo landscape activities will be a chore.  ,
,
I am not sure why you don't just leave the red and blue lines as they are and if you really want to get rid of yellow minis just open up the line as is currently.  Let that be tested on live servers for a bit and then decide what nerfs are necessary.  The current proposed changes only offer a watered down version of the potential of a yellow mini.
				"
Bio-Flame,"Aug 31 2022, ","
					,
,
,Exactly.,
Change/improve yellow if you want to, but why the destruction of how the class plays and feels?,
,
In my language, we call that ""throwing out the baby with the bath water"".,
Meaning: losing sight of what's most important while doing a secondary task.
				"
Hetweith,"Aug 31 2022, ","
					,
,
,the strategy here seems to be: lets fix what isnt broke to fix what is.  is there a compulsion among the devs to see how far they can remove this class from what it was and what attracted me to it in the first place?,
i play minnie because it wasnt an LM and wasnt a cappy. and now it seems we will have to gut and rebuild our LI's to function with these changes. is lotro going to give us the mats to make these LI changes? ,
and most of all is this thread just a waste of time because the history of player input is traditionally ignored from the beta server.
				"
infinitewhimsy,"Aug 31 2022, ","
					,
,
,I see almost no difference between tooltips on live and tooltips on BR.,
,
Healing parses are stupid. Unless you're comparing performance in an actual encounter/boss/instance the numbers are worthless, there's a lot of factors that determine how much you heal for, with what skill, and how often.,
,
 That being said I am sure the healing output is lower because they nerfed CotC  cd while removing the reset on top of nerfing our induction buffs and Coda...and obviously you have less time TO heal now because you need to use Anthems a lot more and or swap into ######## Melody for a stun or Orome, but who knows if that isn't outweighed by things like the new Song of Aid damage reduction or -10% attack duration from Prowess/Resonance on the group letting you shorten the encounter or better deal with mechanics via higher DPS or the group simply taking less damage because of new Anthems stats like 5% Orc Craft mitigation on Prowess. You don't want to measure HPS, you want to measure impact, which isn't as simple.
				"
DoRonRon,"Aug 31 2022, ","
					By the way Welcome to the Forums OP. ,
,
Hope you studies equip you to survive us being mean! We are attached to our Minstrels and their playstyle however. Upping the DPS/HPS (the usual ""sell""/""cop out"") leaves these mechanics in place still.,
,
I'd love to know your sources for mini gameplay to arrive here.
				"
J-Moneyforever,"Aug 31 2022, ","
					,
,
,Played Mini for 10 years. Have close to 1 year ./played on two different minis. Maybe just maybe I enjoy playing the class differently than you. Are you capable of comprehending that? So many angry thoughtless posts talking about how ""WE ALL HATE THE CHANGES"" when it's simply inaccurate. You can dislike the changes but making broad statements or claiming if someone disagrees with you they ""must not like playing mini"" is the argument of a buffoon. No point engaging with it.
				"
Neinda,"Aug 31 2022, ","
					I suspect that these changes are set in stone.  The best we can hope for at this point is a tweak here and there.  Customer comments here rarely result in anything actually changing.  At this point we probably need to stick to begging for piercing cry to keep its stun and corruption removal in any stance and any improvements/adjustments to cool downs, inductions, etc.  Maybe the comments will make small differences but I don't see this actually changing anything major.    The yellow mini will have a new name/look and the choices will be spam mediocre buffs on long cool downs, lesser heals or mediocre dps.  It is still three choices just not as well rounded or effective as things are today.  Minis will have awesome tool bars and available skills but will have to choose which ones will be used as there is not enough time to use them all fully.  On a positive note, I suspect we will see more classes nerfed shortly.  Look at all those comment threads out there.  Hopefully SSG will nerf the instances and landscape mobs to match the reduced skills of our classes.
				"
greendarner,"Aug 31 2022, ","
					I feel ill.  Seriously.  These changes, specifically those taking away functions, the ones that are nerfing us, are horrible.  The mealy-mouthed ""rationalizations"" for this mess are disgusting.  Either you think you can hoodwink us with your ""reasoning"" or you have no actual clue how the class functions currently.  ,
,
I've read through the entire thread, and while I might have missed a criticism or two, most that I did read are spot on.  ,
,
Adding to the ill feeling is the knowledge that, unless SSG has had a sudden about face, there is NOTHING that will be changed.  To say it's NOT set in stone is directly contradicted by all the times SSG has suddenly introduced changes via Bullroarer, invited feedback yet totally ignored the feedback they receive, and two weeks later, the changes go live.  And those changes are almost never adjusted except in the very most minor way, unless they discover they forgot to nerf something.  THAT they will ""adjust"".  SSG, you think this is harsh?  It's truth, and if you think being told the truth is ""harsh"", then so be it. This is a fair and accurate depiction of your past record of how you have operated, for as long as it's been SSG, and going back before that too.  ,
,
Even if I thought the changes were beneficial, this is a huge daunting amount of relearning to do.  As another poster put it, going back to being a noob again, learning a class all over.  Admittedly, I'd have more enthusiasm for it IF the changes were beneficial, but they're first and foremost ANOTHER NERF to minstrels.  You have a really peculiar business model: Look for ways to make your customers unhappy.
				"
nelar,"Aug 31 2022, ","
					I copied over a level 65 and level 106 minstrel, and tried them both out in solo play, red spec'd, with additional points in yellow. I use a plugin that measures combat time in seconds. I found no significant difference in combat time between Dissonance and Melody stance, at best I might occasionally end combat 1 second faster in Dissonance. For normal mobs, neither stance had any significant difference. For signatures, Dissonance sometimes took longer because I had to heal to stay alive -- that was a non-issue in Melody. I also solo'd the Attack at Dawn skirmish, setting it to 2-man, running Melody. The final boss required using all healing skills including coda and strike, and was still close, but definitely doable. I don't think I would have had a chance in Dissonance -- without the additional healing from coda and strike, I don't see any way I could have survived.,
,
So for solo play, melody stance gives the stun to Piercing Cry, further reduces mob resistance, and provides additional healing for tougher situations, for what appears to me to be an insignificant amount of additional combat time, and slightly less post combat time healing up for those who like to take on something more challenging then a single normal landscape mob.,
,
As for anthems when soloing landscape, I never had more than one up -- combat just doesn't last long enough. Against signatures, if I had the three ballads up and piercing cry stunned them, I could always cast Third Age and then finish the combat. That meant I had the anthem up for any additional mobs that I could engage in the next couple of minutes.,
,
I can't speak to raiding or healing, but for solo play the changes are great once you switch to Melody stance -- faster kills, ability to tackle tougher content, and coda/strike actually worth being on your toolbar.
				"
infinitewhimsy,"Sep 01 2022, ","
					,
,
,I'd love to hear what you think has changed about either skill.
				"
Arabani,"Sep 01 2022, ","
					Yes, I like the changes in general. Except for the Anthems, of course. Most of them are realtively useless (5% increase is not a flat increase for instances) and keeping several up is not fun, neither is the new Invigorated/cashe out mechanic. The way I see it is that in most cases Minis will play in Melody, keep a couple of ""the most useful"" anthems up and almost never cash them out.
				"
hillard1959,"Sep 01 2022, ","
					,
,
,This. I rarely use more than two anthems, Anthem of War and Anthem of Composure, while soloing. They're not even needed most of the time, but really nice to have when tackling solo dungeons. Now getting those buffs up and maintaining them are a chore.,
,
I can see using Melody stance while specced into Warrior-Skald for a more AOE-centric build. That's actually pretty cool. I just want them to fix the anthems. And give me my stun back.
				"
